index,X_img,Y_img,latitude,longitude
92,55706,70,-22.7639888,-43.6074185
93,55180,364,-22.7653095,-43.609778899999995
97,55818,115,-22.76419159999995,-43.6069143
98,55175,285,-22.7649534,-43.6098003
118,72438,328,-22.765146299999998,-43.53232740000001
119,72482,1104,-22.768628599999996,-43.532128900000004
133,72501,2036,-22.772813199999998,-43.532043099999996
635,62423,406,-22.765495100000003,-43.5772729
636,62153,917,-22.7677903,-43.578485300000004
637,61809,1574,-22.7707383,-43.580030199999996
638,61486,2202,-22.7735577,-43.5814786
639,61146,2853,-22.7764759,-43.5830021
640,60761,3587,-22.779770000000003,-43.5847294
641,60396,4290,-22.7829255,-43.586370900000006
642,60018,5015,-22.7861798,-43.588066100000006
643,59650,5729,-22.7893846,-43.5897183
644,59286,6412,-22.7924509,-43.5913491
645,58902,7148,-22.795754499999997,-43.593076499999995
646,58502,7922,-22.799226100000002,-43.59486819999999
647,58302,8523,-22.801926199999997,-43.5957694
648,58141,9013,-22.8041219,-43.596488199999996
649,57933,9632,-22.806900999999996,-43.5974216
650,57701,10359,-22.8101647,-43.5984623
651,57445,11131,-22.8136288,-43.5996149
652,57192,11908,-22.817117000000003,-43.6007476
653,56925,12721,-22.820766099999997,-43.6019492
654,56693,13334,-22.8235152,-43.602989900000004
655,56401,14123,-22.8270554,-43.604298799999995
656,56107,14898,-22.8305361,-43.6056185
657,56035,15665,-22.833977199999996,-43.60594029999994
658,55920,16573,-22.838051,-43.60645529999999
659,55942,17121,-22.840513,-43.6063588
823,77223,51,-22.7639044,-43.51085370000005
824,76960,664,-22.7666547,-43.5120338
825,76601,1275,-22.769395000000003,-43.513643200000004
826,76924,514,-22.7659819,-43.5121948
827,76673,1354,-22.769751099999997,-43.5133213
828,76087,2758,-22.7760526,-43.515949899999995
829,75564,3779,-22.7806327,-43.518299500000005
830,76003,2725,-22.775904299999997,-43.5163254
831,75688,3759,-22.7805436,-43.51774159999999
832,75377,4493,-22.783837599999995,-43.5191363
833,75284,4451,-22.7836497,-43.51955469999999
834,74947,5269,-22.7873194,-43.5210675
835,74944,5538,-22.7885262,-43.521078200000005
836,74505,6331,-22.792087000000002,-43.5230523
837,74603,6371,-22.7922651,-43.522612499999994
838,72556,3021,-22.7772298,-43.531796299999996
839,72590,3755,-22.7805239,-43.5316461
840,72625,4700,-22.7847674,-43.5314852
